Figure Numer,notes,Caption,AltText
6.8,,Change in recruits per spawner presented as normalized time series for 20 groundfish stocks 1985-2007 from NEFSC stock assessment reports.,Time series describing groundfish recruitment. The X-axis shows time in years ranging from 1985 to 2010. The Y-axis shows the recruitment index anomaly ranging from -20 to 20. Overall there was higher recruitment in the 90’s with most groundfish species showing positive anomaly values. However most were negative from roughly 2000 to 2010. 
7.1,,Best estimate of total North Atlantic right whale population size from NEFSC right whale surveys (Waring et al. 2013).,Time series describing North Atlantic Right Whale population. The x-axis shows time in years ranging from 1990 to 2010 and the y-axis shows minimum number alive. The number of right whales increases steadily throughout the time series. 
7.2,,"Location of loggerhead, leatherback, green, and Kemp's ridley turtle groups based on a summer 2010 aerial survey (NEFSC 2011).","Map describing location of loggerhead, leatherback, green, and Kemp's ridley turtle groups based on a summer 2010 aerial survey. Loggerhead turtles and the most abundant on the Northeast shelf. "
7.3,,"Annual mean SST for May, June, July, August based on three NDBC buoys in the Gulf of Maine (1984-2012).",Time series describing sea surface temperature in the Gulf of Maine. The x-axis shows time in years ranging from 1985 to 2014 and the y-axis shows sea surface temperature in degrees Celsius. There is an overall increasing trend in sea surface temperature. 
7.4,,"Arctic tern fledging success on Matinicus Rock, Maine from 1984 to 2012.","Time series describing artic tern fledging success on Matinicus Rock, Maine. The x-axis shows time in years ranging from 1985 to 2014 and the y-axis shows fledgling success per pair. There is an overall decreasing trend in fledgling success for arctic terns. "
7.5,,Atlantic puffin and Arctic tern fledgling success in three Maine colonies from 2002 to 2012.,Time series describing arctic tern and artic puffin fledgling success on three island colonies in the Gulf of Maine. The x-axis shows time in years ranging from 2000 to 2012 and the y-axis shows fledgling success ranging from zero to 1.5. Puffins have been less successful in the last few years of the time series. Arctic terns have steadily decreased in fledgling success throughout the time series. 
7.6,,"Fish proportions in Atlantic puffin diet on Seal Island, Maine between 2006 and 2012.",Time series describing Arctic Puffin diet composition on Seal Island Maine. The x-axis shows time in years ranging from 2006 to 2012 and the y-axis shows percentage of fish. Herring used to dominate and hake are more common. 
7.7,,"Fish proportions in Arctic tern diet on Seal Island, Maine between 1991 and 2012.",Time series describing Arctic tern diet composition on Seal Island Maine. The x-axis shows time in years ranging from 1991 to 2012 and the y-axis shows percentage of fish.  Hake dominated the percentage in the 90’s and then in the 2000s dropped to about 30%. 
7.8,,"Amphipod and Euphausiid proportions in Arctic tern diet on Seal Island, Maine.","Time series describing Arctic tern diet composition on Seal Island Maine. The x-axis shows time in years ranging from 1990 to 2012 and the y-axis shows percentage of zooplankton. In the late 90s amphipods comprised most of the diet, then euphausiids dominated from 2003 to 2009. In the last few years of the time series amphipods are again becoming more abundant. "
7.9,,"Trends in normalized abundance indices (Z scores) for Atlantic salmon, American eel, and Atlantic sturgeon in the Northeast United States. Trends are based on: total return of salmon to New England states; eel landings in northeast states; and, juvenile sturgeon CPUE in the Hudson River (ASMFC). Trends are filtered with a 10-point adjacent averaging smoother.","Time series of Salmon, Eel and Sturgeon Abundance in the Northeast United States. The x-axis shows time in years ranging from 1980 to 2015 and the y-axis shows the Zscore. All three species have been declining throughout the time series. "
8.1,,"Northeast Region coastal population and per capita income, 1969-2012 (Income measured in 2012 dollars).",Time series describing coastal population and per capita income in the Northeast Region. The x-axis shows time in years ranging from 1969 to 2012 and the y-axis shows the normalized for population and income. Both have increased steadily throughout the time series. 
8.2,,"Gross revenue from federally-permitted commercial vessels (2014 dollars), by gear types.",Time series describing revenue by gear type. The x-axis shows time in years ranging from the mid-60s to 2014 and the y-axis shows revenue in $106. Gillnet revenue has been declining since its peak in about 2000. Long line has become declining since about 1985 and Seine revenue has declined dramatically since 1990. Otter trawl revenues has been declining throughout most of the times. Hand gear revenue has remained relatively stable since the 90s. Only dredge and pot/trap revenue have increase. The total revenue was about 800 million until the mid-70s where it jumped to about 1.2 billion. In 1990 there was another jump to about 1.8billion and revenue has remained relatively stable since. 
8.3,,"Bar graph indicating employment in boating (green), seafood (blue), and shipping (yellow) sectors of the economy, which are directly dependent on the marine ecosystem and correspond to the left y-axis. The red line indicates total employment in states abutting the NES LME, and corresponds to the right y-axis.","Bar chart describing employment in boating, seafood and shipping and total employment. The x-axis shows time in years ranging from 1998 to 2011. There are two y-axis, one shows sector employment (103) and the other shows total employment (106). Overall shipping contributes the highest employment then seafood then boating. Total employment increased from 1998 to 2008 and has been declining since. "
8.4,fixed. Code Bug (Beet,,Missing
8.5,fixed. Code Bug (Beet,,Missing
8.6,fixed. Code Bug (Beet,,Missing
8.7,fixed. Code Bug (Beet,,Missing
8.8,fixed. Code Bug (Beet,,Missing
8.9,,Commercial fisheries reliance ranking for the Northeast U.S.,Map showing commercial fisheries reliance in Northeast US states. There are many low reliant communities all along the coast fewer highly reliant communities and then ever fewer moderately engaged communities. Maine has the most highly reliant communities.
8.1,, Fishing patterns of area-dependent and mobile fishermen.,"Map showing fishing pattern on the northeast shelf. Concentration of fishing days by mobile fishers shows two main hot spots off of New Jersey and a slightly less concentrated area on George’s Bank. Concentration of fishing days for fixed area fishers show a hot spot off of the northern coast of Massachusetts, New Hampshire and Southern Maine. There is also a less concentrated area off of Rhode Island. "
8.11,,Historical cod and haddock spawning areas in relation to Maine territorial waters (Source: Ames 1998:56).,Map of Historical cod and haddock spawning areas in the gulf of Maine. There are large cod and haddock spawning area off Mid-coast Maine south of Bar Harbor and in Southern Maine near Casco Bay. 
9.1,,"Landings (live weight) by EPU for the NES LME. The groups represented are: principal groundfish (Atlantic cod, haddock, pollock, silver hake, red hake, white hake, red fish, and monkfish), flatfish (i.e. summer flounder, winter flounder, yellowtail flounder), pelagics (i.e. Atlantic herring, Atlantic mackerel), elasmobranchs (i.e. spiny dogfish, winter skates), crustaceans (i.e. American lobsters, red crab), molluscs (i.e. Atlantic scallops, ocean quahogs, surfclams), and other. Note: landings of lobster are underrepresented in the time series.","Time series describing landings by aggregate group for each Ecological production unit - EPU (Gulf of Maine – GOM, Scotian Shelf – SS, Georges Bank – GB and Mid-Atlantic Bight – MAB). The x-axis shows time in years ranging from 1960 to 2014 and the y-axis shows landings in metric tons. The groups represented are: principal groundfish (Atlantic cod, haddock, pollock, silver hake, red hake, white hake, red fish, and monkfish), flatfish (i.e. summer flounder, winter flounder, yellowtail flounder), pelagics (i.e. Atlantic herring, Atlantic mackerel), elasmobranchs (i.e. spiny dogfish, winter skates), crustaceans (i.e. American lobsters, red crab), molluscs (i.e. Atlantic scallops, ocean quahogs, surfclams), and other. Note: landings of lobster are underrepresented in the time series. Gulf of Maine was previous dominated by principle groudfish and pelagic but since is becoming increasing dependent on crustatceans. The same is true for Scotian shelf. Georges Bank and Mid-Atlantic show strong presence of the foreign fleet catching mostly pelagics and principle groundfish.  And have since been declining slightly. "
9.2,,Recreational fishing harvest and releases for the NES LME.,Time series describing recreational fishing harvest and releases on the NES. The x-axis shows time in years ranging from 1980 to 2014 and the y-axis shows the number of fish (106). Number of harvested fish has declined steadily throughout the time series. Number of released fish increased from 1980 to about 2005 and has since been declining. 
9.3,,Production of farmed Atlantic salmon and value in the state of Maine (Courtesy Maine Dept. of Marine Resources). Information not available after 2010 due to confidentiality constraints.,"Time series describing yield and value of farmed Atlantic salmon in Maine. The x-axis shows time in years ranging from 1991 to 2010. There are two y-axes, one shows yield in thousand metric tons and the other shows Value in Million dollars. Both Yield and Value increased in the last 5 years of the time series. "
9.4,,Production of oysters and hard and soft clams and associated value for the most recent information available for each state.,"Bar chart showing shellfish aquaculture for each state on the NES LME. Production is measure in millions and Value is measured in millions of dollars. Connecticut and Virginia produce the most shellfish, primarily clams. Maine and Maryland produce the least, producing only oysters. "
9.5,,Production and value of seaweed harvest in the State of Maine (Courtesy of Maine Department of Natural Resources).,"Time series describing yield and value of seaweed harvest in Maine. The x-axis shows time in years ranging from 1964 to 2012. There are two y-axes, one shows yield in thousand metric tons and the other shows Value in Million dollars. Both Yield and vale have increased dramatically since about 2000. "
9.6,,Location of east coast renewable energy lease sites and installations. Blue-shaded polygons show potential lease site locations by state (Cape Wind Project in dark blue). Open polygon shows the locations of interest for the proposed Atlantic energy transmission corridor to connect possible offshore energy installations to shore-side facilities. Symbols indicate location of tidal energy projects).,Map showing location of renewable energy lease sites in the Northeast Shelf. This includes mostly wind sites but also tidal energy sites. Most sites are in the mid-Atlantic and south of Cape Cod but Maine had both wind and tidal energy locations as well. 
9.7,,Ship traffic over the NESLME in 2011 for all vessels required to carry an AIS transponder.,"Map showing ship traffic over the NES LME in 2011. The map shows major hot spots as cites (Boston, New York, Baltimore, and Philadelphia. The mid-Atlantic shows the most marine traffic. "
9.13,,Estimates of coastal wetland extent from Maine to New York for the period 1906-1978 (adapted from Gosselink and Baumann 1980).,Time series describing coastal wetlands from Maine to New York. The x-axis shows time in years ranging from 1906 to 1978 and the y-axis shows thousand hectares. The wetlands decreased in size by about half from over 100 thousand hectares to about 50 thousand. 
9.14,,"Changes in estuarine scrub/shrub, estuarine emergent and unconsolidated shore wetland classifications for the Gulf of Maine subregion, for the periods 1996-2001, and 2001-2006, expressed as percent change. Estimates based on C-CAP data.","Bar chart describing Changes in estuarine scrub/shrub, estuarine emergent and unconsolidated shore wetland classifications for the Gulf of Maine. The y-axis shows percent relative change. 1996-2001 and 2006-2010 saw positive change in Estuarine Scrub/Shrub and Unconsolidated wetlands while 2001-2006 saw negative change in estuarine scrub/shrub and no change in Unconsolidated wetlands. There was little change positive or negative in estuarine emergent wetlands during any time period."
9.15,,"Changes in estuarine scrub/shrub, estuarine emergent and unconsolidated shore wetland classifications for the Mid-Atlantic Bight subregion, for the periods 1996 – 2001, and 2001 – 2006 expressed as percent change. Estimates based on C-CAP data.","Bar chart describing Changes in estuarine scrub/shrub, estuarine emergent and unconsolidated shore wetland classifications for the Mid-Atlantic. The y-axis shows percent relative change. Estuarine scrub/shrub wetlands showed positive change and estuarine emergent wetlands showed almost no change during all time periods. Unconsolidated Shore showed positive change 1996-2001 and 2001-2006 and negative change 2001-2006. "
9.16,,"Annual mapped SAV area (ha) for the Chesapeake Bay, reproduced from Orth et al. 2013.",Time series describing annual mapped submerged aquatic vegetation (SAV) area for the Chesapeake Bay. The x-axis shows time in years ranging from 1998 to 2013 and the y-axis shows thousand hectares. The last five years show a decrease in mapped SAV. 
9.17,,Estimates of the loss in the areal extent of oyster reefs and in biomass of oysters estimates relative to ~1885-1915 levels (data from Ermgassen et al. 2012).,"Bar chart describing estimates of loss oyster reef area and biomass. The x-axis shows percent remaining and the y-axis shows locations in along the Northeast Shelf coast. James River VA, Delaware Bay DE, Tangier/Pocomoke Sounds/ Hudson River/Raritan Bay NY/CT and York River VA have between 10-50% remaining while Great Bay NH, Narragansett Bay RI, Bamegat Bay NJ, Inland Bays NJ, and Pianatank River/Mobjack Bay VA have < 10% remaining. Lynhaven River VA and Eastern Shore VA have 0% oyster reef area/biomass remaining.  "
9.18,,"Known distributions of hard corals, soft corals and sea fans in the northeastern U.S. and Canadian Gulf of Maine waters. Sea pens and black corals are not included. Canadian data.","Map describing known distributions of hard corals, soft corals and sea fans in the northeastern U.S. and Canadian Gulf of Maine waters. Most deep corals are clustered at the shelf break. But some soft corals can be found just north of Cape Cod and many sea fan corals can be found on the shelf in Canadian waters. "
9.19,,"Time series of thermal habitat area for three habitat ranges (rows top to bottom, cold water 1-4°C, midrange 5-15°C, and warm habitat 16-27°C) for the Northeast Shelf as a whole, Middle Atlantic Bight, Georges Bank, Gulf of Maine, and Scotian Shelf (NES, MAB, GBK, GOM, and SCS, respectively, columns left to right). Lines are linear regression models with regression p-values in the upper right of each plot.","Time series describing thermal habitat for three habitat ranges (1-4, 5-15 and 16-27 degrees Celsius) for the NES and all EPUs (Gulf of Maine – GOM, Scotian Shelf – SS, Georges Bank – GB and Mid-Atlantic Bight – MAB). The x-axis shows time in years ranging from 1985 to 2015 and the y-axis shows thermal habitat (103km-3). A linear regression model is applied to each plot. In the coldest thermal range (1-4), there were no significant trends. Between 5-15, three regions showed significant trends, NES, GB and GOM. In the warmest thermal range (16-27), four regions showed significant trends NES, GB, GOM and SS. "
9.2,,"Time series of number of days thermal habitat persisted in an area for three habitat ranges (rows top to bottom, cold water 1-4°C, midrange 5-15°C, and warm habitat 16-27°C) for the Northeast Shelf as a whole, Middle Atlantic Bight, Georges Bank, Gulf of Maine, and Scotian Shelf (NES, MAB, GBK, GOM, and SCS, respectively, columns left to right). Lines are linear regression models with regression p-values in the upper right of each plot.","Time series describing the number of days the thermal habitat persisted for three habitat ranges (1-4, 5-15 and 16-27 degrees Celsius) for the NES and all EPUs (Gulf of Maine – GOM, Scotian Shelf – SS, Georges Bank – GB and Mid-Atlantic Bight – MAB). The x-axis shows time in years ranging from 1985 to 2015 and the y-axis shows thermal habitat (103km-3). A linear regression model is applied to each plot. In the coldest thermal range (1-4), there were no significant trends. Between 5-15, only one region showed a significant trend, SS. In the warmest thermal range (16-27), all regions showed significant trends. "
9.21,," Maps of annual sea surface temperature (left) and chlorophyll (right) gradients highlighting the Gulf Stream, Shelf Slope Front and Georges Bank tidal mixing fronts. The chlorophyll gradients are a ratio because the gradient magnitude analysis was performed on log-transformed chlorophyll images.","Maps describing the annual sea surface temperature and chlorophyll gradients on the Northeast shelf. The sea surface temperature map clearly shows the Gulf Stream, slope front and Georges Bank tidal merging fronts. The Chlorophyll map shows a bloom on the Georges Bank tidal merging fronts. "
9.22,,Satellite (AVHRR) SST image showing multiple upwelling centers along the New Jersey Coast. Two contours showing chlorophyll-a values derived from a SeaWiFS image on the same day are superimposed on the SST. The peak chlorophyll-a values correlate with the low-temperature water in the SST image. Reproduced from Glenn et al. (2004),"Map of sea surface temperatures on June 30, 2020 off the coast of New Jersey. This map shows multiple upwelling centers. "
9.23,,"Average bottom temperatures during the month of September from 1995-2008. The Cold Pool is the band of 6-9°C water surrounded on all sides by warmer temperatures. Locations marked on the map: CB: Chesapeake Bay, CM: Cape May, HC: Hudson Canyon, MP: Montauk Point and NS: Nantucket Shoals.","Map showing average bottom temperatures during the month of September 1995-2008. This clearly shows the cold pool, a band of water 6-9 degrees Celsius in the Mid-Atlantic Bight. "
10.1,,Heavy metal and total DDT (TDDT) concentrations in blue mussel tissue in the Gulf of Maine expressed as standardized anomalies. Darker colors indicate higher concentrations. Boxes with a bold border represent years when the annual mean concentration for the subregion exceeds the FDA safety level for that parameter.,Tile plot describing heavy metal and total DDT concentrations in Blue Mussel tissue in the Gulf of Maine. The x-axis shows time in years ranging from 1986 to 2009 and the y-axis is a list of heavy metals and total DDT. Lead is the only metal which exceeded the FDA safety level. 
10.2,,"Ratio of the five year mean concentrations (2004 - 2008) for arsenic, cadmium, lead, mercury nickel, and total DDT (all forms of DDT) to the FDA established safety level for that parameter; Gulf of Maine. Polygons extending outside a radius of 1.0 represent an exceedance of the FDA safety level for this parameter. Bivalve samples are averaged across the entire subregion.",Plot showing that lead is the only heavy metal falling outside the FDA established safety level for Blue Mussels 2003-2007. 
10.3,,Heavy metal and total DDT (TDDT) concentrations in blue mussel and oyster tissue in the Mid-Atlantic Bight expressed as standardized anomalies. Darker colors indicate higher concentrations Boxes with a bold border represent years when the annual mean concentration for the subregion exceeds the FDA safety level for that parameter.,"Tile plot describing heavy metal and total DDT concentrations in Blue Mussel tissue in the Gulf of Maine. The x-axis shows time in years ranging from 1986 to 2009 and the y-axis is a list of heavy metals and total DDT for both Oysters and blue mussels. Cadmium is above the FDA established safety level for oysters, Lead is above FDA established safety level for Mussels, Total DDT is above FDA established safety level for both oysters and mussels. "
10.4,,"Ratio of the five year mean concentrations (2004 - 2008) for arsenic, cadmium, lead, mercury nickel, and total DDT (all forms of DDT) to the FDA established safety level in the Mid-Atlantic Bight. Polygons extending outside a radius of 1.0 represent an exceedance of the FDA safety level for this parameter. Bivalve samples are averaged across the entire subregion.",Plot showing that lead is the only heavy metal falling outside the FDA established safety level for Blue Mussels 2008-2012. Cadmium is the only heavy metal falling outside the FDA established safety level for oysters 2008-2012.
10.5,,Total annual gallons of chemical and oil spills during 2000-2011 (Source U.S. Coast Guard Marine Casualty and Pollutant Database). Note that reporting and case resolution delays affect the most recent years.,"Time series describing total annual gallons of chemical and oil spills in three ecological production units (Gulf of Maine – GOM, Georges Bank – GB and Mid-Atlantic Bight – MAB). The x-axis shows time in years ranging from 1998 to 2011 and the y-axis shows total discharge in thousand gallons. MAB shows 6 years of discharge two quite high. GB shows eight years but with relatively less compared to GOM and MAB. GOM has eight years of recorded discharge. The two highest years are 2000 and 2003."
10.6,fixed. Code Bug (Beet,,Missing
10.7,fixed. Code Bug (Beet,,Missing
10.8,,Location of reported chemical and oil spills from other sources (Source U.S. Coast Guard Marine Casualty and Pollutant Database).,"Map showing location of reported chemical and oil spill pollution events. Many event <100 gallons with a few larger events up to >10,000 gallons. "
10.9,,"Eutrophication status for the Northeastern United States (source NOAA National Fish Habitat Partnership, coastal spatial framework and indicator datasets).","Map shows areas of eutrophication. Areas with High eutrophication status are Chesapeake Bay, Long island sound, Rhode Island, Penobscot Bay. Moderate eutrophication status areas include all Massachusetts coasts including areas north and east of Cape Cod and Delaware Bay. "
10.1,,"Hypoxia indicators in the Northeastern United States (source NOAA National Fish Habitat Partnership, coastal spatial framework and indicator datasets)","Map showing areas of hypoxia in the Northeast US. Maine only shows one area of concern for hypoxia. All other states show many documented cases of hypoxia, especially Rhode Island and New York. "
10.11,,"Alexandrium cyst counts in the Gulf of Maine (J. Kleindinst, WHOI, personal communication).",Time series describing Alexandrium cyst counts in the gulf of Maine. The x-axis shows 1997 to 2001 and the y-axis shows number of cysts (1016). 2009 was the peak number of cysts at 1000x1016. Since 2009 the number has dropped to less than half of the peak. 
10.12,,Red tide associated shellfish closures in the Gulf of Maine expressed as kilometer days of closure (product of length of shoreline closed and duration of closure (derived from Kleindinst et al. 2014).,Time series describing red tide associated shellfish closures in the Gulf of Maine. The x-axis shows time in years ranging from 1978 to 2011 and the y-axis shows 103km days. Almost every year shows more closures in western Maine compared to Eastern Gulf of Maine. There was a decrease in closures in the 90s but there has been an increase in the last ten years of the time series. 
10.13,,Standardized anomalies of Phaeocystis density in the Gulf of Maine based on Continuous Plankton Recorder observations.,Time series describing phaeocystis density anomaly in the Gulf of Maine. The x-axis shows time in years ranging from 1960 to 2009 and the y-axis shows anomaly values ranging from -1 to 1. There was a period of prolonged values less than the zero line in the 60s but has bounced around steadily since. 
10.14,,"Beach closure metrics (total number of beaches affected, number of beach actions, and total number of days under a beach action for the Gulf of Maine (upper) and the Mid-Atlantic Bight.","Time series describing beach closure metrics for the Gulf of Maine and Mid-Atlantic Bight. The x-axis shows time in years ranging 2000 to 2013 and the y-axis shows number of beaches affected, number of beach actions and number of days under beach action. For both GOM and MAB the number of days under beach action increased until about 2009 and has decreased in more recent years. The same is true for number of beach actions. "
10.15,,Caption incorrect,"Time series describing sea level change in states on the Northeast Continental Shelf. The x-axis shows time in years ranging from 1900 to 2010 and the y-axis shows relative sea level change in meters. For all groups (MA, ME ; RI, CT, NY, NJ, PA ; DE, MD, DC, VA) of states there is an increase in sea level throughout the time series. "
10.16,,Along-shelf position of the center of biomass for nine fish species over time from the NEFSC autumn bottom trawl survey.,"Time series describing center of finfish biomass for nine fish collected on the bottom trawl survey. The x-axis shows time in years ranging from 1970 to 2010 and the y-axis shows the center of population with marks indicating position along the shelf. Haddock, cod, silver hake and herring have all remained in the ME/NH/MA region. Red hake moved from RI/MA to MA/NH/ME early in the time series and continues a steady trend northward. Butterfish has moved further north in the ten years of the time series moving from NJ/NY to MA/NH/ME. Summer flounder have also moved northward both have plateaued around RI in the last ten years. Black sea bass have moved quite far north from VA to NY with a steep movement in the last 40 years. Atlantic croaker moved further north as well from NC to VA. "
10.17,,Caption incorrect,Map showing change in pH from 1980 to 2009 on the northeast shelf. Almost all of the shelf has decreased pH during the 40 year time period.  
10.18,fixed. Code Bug (Beet,,Missing
10.19,fixed. Code Bug (Beet,,Missing
10.21,,Percentage occupancy of historical river habitat for alewife and blueback herring populations in the Northeastern United States (Dauwalter et al. 2012).,"Bar chart describing percent occupancy of alewife and blueback herring in historical river habitat in the northeastern US. The x-axis shows percent remaining and the y-axis lists rivers. All rivers in Maine, New Hampshire, Massachusetts and Connecticut, James VA and Schuykill NY show less than 60% alewife remain. The Connecticut River has 100% of blueback herring remaining. Hudson NY, Raritan NJ, Delaware DE/NJ/PA and Potomoc MD/VA all have 100% of both species remaining. "
10.2,,Locations of existing dams for other purposes (e.g. irrigation systems) in the Northeastern United States (data courtesy of the Nature Conservancy).,"Map showing locations of existing dams for purposes like irrigation. There are dams all over the northeastern United States but they are particularly thick in Massachusetts, Rhode Island, Connecticut and New York. "
10.27,,Distribution of major substrate categories on the Northeast US Continental Shelf (courtesy of the New England Fishery Management Council Omnibus Habitat Plan Development Team).," Map showing distribution of major substrate categories on the Northeast US Continental Shelf. The sea floor is made you mostly of mud-silt beyond the shelf break but also in the gulf of Maine. On the shelf, it is mostly sand especially through the mid-Atlantic bight. Georges Bank is mix of granite-pebble, cobble, boulder and mostly sand. "
10.28,,"Distribution of natural disturbance categories (high, low) on the Northeast US Continental Shelf (courtesy of the New England Fishery Management Council Omnibus Habitat Plan Development Team).",Map showing distribution of natural disturbance categories on the Northeast US Continental Shelf. Georges Bank is more like to have a natural disturbance than other areas along the self. 
10.29,,Relative risk arrayed by gear type and habitat category for geological features in high energy regimes.,"Tile plot showing Relative risk arrayed by gear type and habitat category for geological features in high energy regimes. Hydraulic dredges show higher risk in pebble substrate. Hydraulic dredge in sand, trawl and scallop dredge in cobble and boulder substrates are moderate risk while all other categories are low risk for geological features in high energy regimes. "
10.3,,Relative risk arrayed by gear type and habitat category for geological features in low energy regimes.,"Tile plot showing Relative risk arrayed by gear type and habitat category for geological features in low energy regimes. Hydraulic dredges are highest risk in pebble substrate. Hydraulic dredge in sand are moderate-high risk, trawl and scallop dredge in cobble are moderate risk and trawl and scallop dredge in pebble and boulder substrates are low-moderate risk while all other categories are low risk for geological features in low energy regimes. "
10.31,,Relative risk arrayed by gear type and habitat category for biological features in high energy regimes.,"Tile plot showing Relative risk arrayed by gear type and habitat category for biological features in low energy regimes. Hydraulic dredges are highest risk in pebble substrate. Hydraulic dredge in sand are moderate-high risk, Scallop dredge in pebble are moderate risk.  Trawl and Scallop dredge in sand, cobble and boulders, trawl in pebble and mud and longline/gillnet and trap in boulders as well as trap in pebble are low-moderate risk and all other are low risk for biological features in low energy regimes. "
10.32,,Relative risk arrayed by gear type and habitat category for biological features in low energy regimes.,"Tile plot showing Relative risk arrayed by gear type and habitat category for biological features in low energy regimes. Hydraulic dredges are highest risk in pebble substrate. Hydraulic dredge in sand are moderate-high risk, Scallop dredge in pebble, cobble and boulder as well as trawl in boulder are moderate risk. Trawl and scallop dredge in mud and sand, trawl in pebble and cobble, trap in pebble and trap and longline in boulder substrates are low-moderate risk and all other are low risk for biological features in low energy regimes. "
10.26,,Distribution of fishing activity by seines as reflected in the spatial distribution of landings.,Map showing the distribution of fishing activity on the northeast continental shelf. Areas of high activity in most of the gulf of Maine and the coast of New Jersey to the shelf break.
10.33,,"Number of incidents involving marine mammals through entanglement, entrapment, non-human interactions, unknown and vessel strikes. Total number of incidents by species (upper panel) and number of events by incident category (lower panel).","Bat chart describing frequency of incidents involving marine mammals through entanglement, entrapment, non-human interactions, unknown and vessel strikes by species and type of interaction. The x-axis shows time in years ranging from 1990 to 2011 and the y-axis shows number of incidents ranging from zero to 140. Humpback and Minke whales are the species most commonly involved in incidents and most incident are unknown though between 0-20 entanglement event occur each year. "
10.34,,Total number of sea turtle strandings in the Northeastern United States 1986-2013.,Bar chart describing sea turtle strandings in the northeastern US. The x-axis shows time in years ranging from 1986 to 2013 and the y-axis shows total number of sea turtle strandings ranging from zero to 900. Loggerhead account for most of the strandings each year and the number of strandings has been declining since it peak in 2002/2003.
10.35,,Modeled sound levels as a function of vessel traffic for different vessel types for sections of the Northeast U.S shelf at 5 m depth and 50 Hz (Courtesy of NOAA CetSound Program.,"Map showing areas of low and high sound levels as a function of vessel traffic for different vessel types for sections of the Northeast U.S shelf at 5 m depth and 50 Hz. Areas of relative high sound levels include south of Cape Hatteras, most of the mid-Atlantic bight, the coast of Rhode Island, east of Cape Cod and much of eastern Gulf of Maine and Scotian shelf. "
10.36,,"Average along shelf position for a group of 48 species resident on the Northeast US Continental Shelf. Distance is along a transect running from Cape Hatteras, North Carolina to Cape Sable, Nova Scotia, so increasing distance reflects net movement to the Northeast along the transect.",Time series describing shifts in distribution along the coast for fall and spring on the Northeast US Shelf. The x-axis shows time in years ranging from 1970 to 2013 and the y-axis shows along coast distance in kilometers. Both spring and fall trend lines indicate northward shift in distribution however the shift seems more dramatic in fall. 
10.37,,Average depth of capture for a group of 48 species resident on the Northeast US Continental Shelf.,Time series describing shifts in depth of capture for fish on the Northeast US Shelf. The x-axis shows time in years ranging from 1970 to 2013 and the y-axis shows average depth in meters ranging from -120 to -90. Both spring and fall show decreasing depth over time. 
11.1,,"Status of fish stocks managed by the New England Fishery Management Council, the Mid-Atlantic Fishery Management Council, or under joint management. Stocks with biomass levels less than 0.5 B/Bmsy are classified as overfished. Overfishing is occurring for stocks with a F/Fmsy ratio greater than 1.0.","Scatterplot describing stock status for all stocks managed by both the New England and the Mid-Atlantic fisheries management councils. The x-axis show biomass over biomass that would produce maximum sustainable yield and the y-axis fishing mortality over fishing mortality that would produce maximum sustainable yield. There are 19 stocks that fall below a Bmsy of 1 meaning they are overfished, nine of which fall below 0.5 Bmsy. Six stock have a fishing mortality greater than one meaning that they are experiencing overfishing. "
11.2,,Status of fish stocks managed by the New England Fishery Management Council. Stocks with biomass levels less than 0.5 B/Bmsy are classified as overfished. Overfishing is occurring for stocks with a F/Fmsy ratio greater than 1.0.,"Scatterplot describing stock status for stocks managed by the New England fisheries management councils. The x-axis show biomass over biomass that would produce maximum sustainable yield and the y-axis fishing mortality over fishing mortality that would produce maximum sustainable yield. Six stock have a fishing mortality greater than one meaning that they are experiencing overfishing, these include Georges Bank Yellowtail, Georges Bank cod, Witch, Gulf of Maine Haddock, Northern window pane and Gulf of Maine Yellowtail. Including the species listed above there are 17 stocks that biomass falls below Bmsy. These stocks are considered overfished. "
11.3,fixed. Code Bug (Beet,,Missing
11.4,,Status of fish stocks under joint management by the New England Fishery Management Council and the Mid-Atlantic Fishery Management Council. Stocks with biomass levels less than 0.5 B/Bmsy are classified as overfished. Overfishing is occurring for stocks with a F/Fmsy ratio greater than 1.0.,Scatterplot describing stock status for stocks managed by the Mid-Atlantic fisheries management councils. The x-axis show biomass over biomass that would produce maximum sustainable yield and the y-axis fishing mortality over fishing mortality that would produce maximum sustainable yield. All stocks fall below Fmsy and above Bmsy.
11.5,,Recovery factor (Fr) for marine mammals on the Northeast U.S Continental Shelf. (Fr ranges from 0 to 1 with 1 indicating a complete recovery; the outer circle in the polar plot corresponds to a value of 1). Species within the inner most circle as classified as endangered.,"Radar plot describing recovery factor for marine mammals on the northeast US shelf. This plot shows six species show endangered status (sperm whale, blue whale, sei whale, fin whale, humpback whale and north Atlantic right whale).  Many cetacean species are classified as low to moderate with respect to recovery, seals species have increased. Grey seals and harbor seals increased dramatically over the last several decades with potentially important implications. Seals prey on some fish species and in some areas, conflict has arisen over predation by seals on commercially important fish species."
11.6,,"Coastal Condition Reports for the Northeast Coast of the U.S. for five major indicators of status: water quality, sediment quality, coastal habitat, benthos, and fish contaminant level. Scores range from 1 (poor) to 5 (good)","Tile plot showing coastal condition reports for five major indicators of status: water quality, sediment quality, coastal habitat, benthos, and fish contaminant level. Reports from 2004, 2008 and 2012 all show coastal habitat index in good condition. "
